"PROVINCE or REGION","MUNICIPALITY or CITY","COURT TYPE","BRANCH","JUDGE'S NAME"
"MALABON CITY","Malabon City","Regional Trial Court (RTC)","289","Mapile-Osinada, Rhoda Magdalene Leaño"
"MALABON CITY","Malabon City","Regional Trial Court (RTC)","290","Ines-Pinzon, Rosario Gomez"
"MALABON CITY","Malabon City","Regional Trial Court (RTC)","291","Largoza-Cantero, Ma. Antonia Linsangan"
"MALABON CITY","Malabon City","Regional Trial Court (RTC)","292","Ladaga, Misael M."
"MALABON CITY","Malabon City","Regional Trial Court (RTC)","293","Rodil, Josie Negros"
"MALABON CITY","Malabon City","Regional Trial Court (RTC)","4","Domingo-Laylo, Abigail S."
"MARIKINA CITY","Marikina City","Regional Trial Court (RTC)","156","De Leon-Ortile, Anjanette Nicolas"
"MARIKINA CITY","Marikina City","Regional Trial Court (RTC)","165","Pacheco, Acerey Castanares"
"MARIKINA CITY","Marikina City","Regional Trial Court (RTC)","168","Catris-Chua Cheng, Lorna Francisca"
"MARIKINA CITY","Marikina City","Regional Trial Court (RTC)","192","Vacant"
"MARIKINA CITY","Marikina City","Regional Trial Court (RTC)","193","Gutierrez , Alice Castañeda"
"MARIKINA CITY","Marikina City","Regional Trial Court (RTC)","263","Inciong, Rey P."
"MARIKINA CITY","Marikina City","Regional Trial Court (RTC)","272","Vacant"
"MARIKINA CITY","Marikina City","Regional Trial Court (RTC)","273","Tagra, Romeo Dizon"
"MARIKINA CITY","Marikina City","Regional Trial Court (RTC)","7","Valdez, Edwin A."
"MANDALUYONG CITY","Mandaluyong City","Regional Trial Court (RTC)","208","Dellosa, Joeven Diaz"
"MANDALUYONG CITY","Mandaluyong City","Regional Trial Court (RTC)","209","Ignacio, Monique Quisumbing"
"MANDALUYONG CITY","Mandaluyong City","Regional Trial Court (RTC)","210","Vacant"
"MANDALUYONG CITY","Mandaluyong City","Regional Trial Court (RTC)","211","Lim, Elizabeth M."
"MANDALUYONG CITY","Mandaluyong City","Regional Trial Court (RTC)","212","Capco-Umali, Rizalina Tulad"
"MANDALUYONG CITY","Mandaluyong City","Regional Trial Court (RTC)","213","Saquing-Agacita, Aileen N."
"MANDALUYONG CITY","Mandaluyong City","Regional Trial Court (RTC)","214","Saulog, Imelda Portes"
"MANDALUYONG CITY","Mandaluyong City","Regional Trial Court (RTC)","277","Fama, Anthony Bernardo"
"MANDALUYONG CITY","Mandaluyong City","Regional Trial Court (RTC)","278","Caringal, Jaime Fortunato A."
"MANDALUYONG CITY","Mandaluyong City","Regional Trial Court (RTC)","279","Manalo-San Gaspar, Juliet Marquez"
"MANDALUYONG CITY","Mandaluyong City","Regional Trial Court (RTC)","280","Mangalindan, Restituto, Jr., Velasco"
"MANDALUYONG CITY","Mandaluyong City","Regional Trial Court (RTC)","281","Miguel, J. Ermin Ernest Louie Ramirez"
"MANDALUYONG CITY","Mandaluyong City","Regional Trial Court (RTC)","5","Hernandez-Lazo, Joanne G."
"PARAÑAQUE CITY","Parañaque City","Regional Trial Court (RTC)","194","Javier-Ibay, Marie Grace T."
"PARAÑAQUE CITY","Parañaque City","Regional Trial Court (RTC)","195","Vacant"
"PARAÑAQUE CITY","Parañaque City","Regional Trial Court (RTC)","196","Luna II, Brigido Artemon Masilungan"
"PARAÑAQUE CITY","Parañaque City","Regional Trial Court (RTC)","257","How, Rolando Go"
"PARAÑAQUE CITY","Parañaque City","Regional Trial Court (RTC)","258","Jaurigue-Balitaan, Noemi B."
"PARAÑAQUE CITY","Parañaque City","Regional Trial Court (RTC)","259","Cruz, Maria Luwalhati C."
"PARAÑAQUE CITY","Parañaque City","Regional Trial Court (RTC)","260","Guray, Jaime Mendoza"
"PARAÑAQUE CITY","Parañaque City","Regional Trial Court (RTC)","274","Ramos-Chavez, Regina Paz A."
"PARAÑAQUE CITY","Parañaque City","Regional Trial Court (RTC)","294","Grimares, Leilani Marie D."
"PARAÑAQUE CITY","Parañaque City","Regional Trial Court (RTC)","295","Garcia, Xerxes U."
"PARAÑAQUE CITY","Parañaque City","Regional Trial Court (RTC)","296","Vacant"
"PARAÑAQUE CITY","Parañaque City","Regional Trial Court (RTC)","10","De Castro, Moises D."
"LAS PIÑAS CITY","Las Piñas City","Regional Trial Court (RTC)","197","Vacant"
